,岗位,招聘关键字
0,架构师,"['以上', '架构师', '系统', '系统优化', '设计模式', '多线程', '设计', '熟悉', 'spring', '数据量', '核心', 'java', '架构', '开发', '并发', '精通', '基础', '分布式', '分布式系统', '优化', '框架', '经验', '应用', '技术', '数据库', '架构设计', '计算机相关']"
1,算法工程师,"['实现', '图像识别', '信号处理', '搜索', '推荐', '以上学历', '机器', 'python', '熟悉', '识别', '分割', '岗位职责', '数据结构', '深度', '图像', '信号', 'java', '计算机', '相关', 'matlab', '海量', '开发', '视觉', '医学', '算法', '图谱', 'c++', 'nlp', '研发', '优化', '数据', '模型', '图像处理', '模式识别', '经验', '数据挖掘', '数学', '学习', '自然语言', '医学影像']"
2,产品总监,"['体验', '需求', '用户', '行业', '产品', '迭代', '岗位职责', '分析', '竞品', '产品策划', '运营', '协调', '互联网', '产品设计', '制定', '业务', '上线', '团队', '经验', '规划']"
3,技术总监,"['行业', '职务', '以上', '产品', '系统', '管理', '标准', '审核', '设计', '回用', '设备', '处理工艺', '熟悉', '水泥', 'java', '架构', '环境工程', '污水', '开发', '项目', '互联网', '带领', '治理', '生活', '精通', '校验', '制定', '研发', '校准', '团队', '经验', '填写', '工艺', '技术', '环保', '数据库', '架构设计', '填埋场', '公司']"
4,融资总监,"['投资', '融资', '租赁', '岗位职责', '财富', '资金', '评估', '净值', '政府', '渠道', '总监', '募资', '指标', '机构', '制定', '股权', '业务', '银行', '基金', '募集']"
5,分公司总经理,"['大型', '金融机构', '开拓', '以上', '管理', '财富', '第三方', '理财', '指标', '带领', '金融', '分公司', '业务', '团队', '经验', '营销', '筹建', '三方', '具有', '当地']"
6,投资经理,"['综合体', '对拟', '行业', '投资', '职务', '以上学历', '初步', '岗位职责', '清华', '科及', '分析', '投融资', '仓内', '客户资源', '项目风险', '净值', '华南', '政策法规', '理财', '相关', '世茂', '项目', '尽职', '金融', '股权', '投后', '基金', '可行性研究', '尽调', 'pe', '投行', '科创', '估值', '具有']"
7,数据产品经理,"['无人机', '体验', '能力', '功能', '效益', '具备', '条理化', '医疗', '设计', '竞争对手', '岗位职责', '分析', '市场', '完成', '合作伙伴', '优先级', '私募', '生命周期', '改善', '巴南', '研发部', '开发进度', '带领', '功能设计', '业务', '优秀', '研发', 'prd', '经验', '数据挖掘', 'sql', '埋点', '具有', '公司', '发展', '用户', '行业', '品牌', '可视化', '保质', '根据', '数据报表', '孵化', '旅游', '定期', '教育', '导向', 'axure', '省区', '开发', '互联网', '易用性', '金融', '思维', '制定', '效果', '痛点', '团队', '工业品', '规划', '全日制', '督促', '餐补', '逻辑', '产品', '进行', '确认', '清晰明确', '业绩', '同行业', '物流', '年轻人', '竞品', '投资者', '文档', '高保真', '有效', '相关', '主要', '4a', '测绘', '产品策划', '激光雷达', '协调', '跨部门', '运营', '落地', '数据', '报告', '上线', '数据仓库', 'bi', '在线教育', '环保', '主导', '进度表', '基金', '产品开发', '改进', 'ui', '理解', '需求', '挖掘', 'tms', '以上学历', '功能分析', 'app', '农药', '数据分析', '迭代', '把握', '市场需求', '评估', '化学', '高新科技', 'uml', '详细', '原型', '有关', '市场调研', '产品设计', '调研', '开发新', '数据处理', '短期', '聚餐', '沟通']"
8,java开发工程师,"['组态', 'oracle', 'jvm', '调优', '多线程', 'tomcat', '主流', '规范', 'soa', '开发进度', '功能设计', '基础', '研发', '优化', '使用', '经验', '工程师', 'sql', 'https', 'ajax', '面向对象编程', 'jquery', 'javaweb', '性能', '系统', '脚本语言', '钻研', '开源', '熟悉', 'redis', '软件开发', '基础知识', 'springboot', '根据', '缓存', '运维', '开发人员', '至少', '年终奖', 'echarts', 'bug', 'html5', '开发', '易用性', '代码', '精通', '框架', '关系数据库', '架构设计', 'mybatis', '保证系统', '常用', '编写', '源码', '中间件', 'spark', '文档', 'gc', '确保', '交通', '知识', '原理', '分布式系统', '技能', 'vue', '以及', 'html', '技术难题', '单元测试', '说明书', '前端开发', '理解', '开发技术', '设计模式', 'mysql', 'cloud', '程序开发', '要求', 'spring', '系统核心', 'java', 'mvc', '架构', 'springmvc', 'javaee', 'j2ee', 'eclipse', '分布式', '编程技术', '技术', 'springcloud', '数据库', '自测', '计算机相关', '绩效奖金']"
9,销售总监,"['拜访', '底薪', '行业', '高薪', '经费', '高额', '法律顾问', '以上学历', '管理', '知识产权', '考虑', '洽谈', '五险', '新人奖', '20%', '销售', '租赁', '提供', '一金', '待遇', '集团', '岗位职责', '客户', '人寿', '看房', '享有', '电销', '晋升', '客户资源', '关系', '根据', '二手房', '买卖', '空缺', '行业动态', '有效', '辅导', '理财', '晋升制度', '抗压', '理财产品', '金融', '效能', '专业', 'job', '拓展', '制定', '业务', '维护', '建设', '提成', '团队', '培训', '经验', '欣欣', '目标', '20w', '语言表达', '肯吃苦', '甄选', '房源', '下属', '饭补', '链家', '聚餐', '法学专业', '免费', '上班时间', '绿色', '公司']"
10,业务经理,"['能力', '底薪', '融资', '开拓', '贷后', '岗位职责', '客户', '具体', '保险', '金融业务', '渠道', '理财', '客户服务', '业务经理', '开发', '维护', '业务', '达成', '具有', '公司']"
11,技术经理,"['质量', '大型', '功能', 'mqtt', '土地', '管理', '技术培训', 'iso17025', '岗位职责', 'debug', '分析', '检测', '第三方', '验收', '协议', '系统分析', '田间管理', '龟鳖', '监督', '公用', '会审', '调查', '积极主动', '评价', '研发', '优化', '经验', '化验', '闵行', '公司', 'perform', '系统', '水泵', '熟悉', '设备', '经历', '品控', '出差', '电气工程师', '农业', '现场', '负责管理', '资历', '开发', 'cnas', '项目', '精通', '焊工', '维护', '固废', '框架', '团队', '证件', '可行性研究', '规划', '给排水', '全日制', '架构设计', '排期', '壁挂炉', '热能', '以上', '产品', '开发计划', '采集', '热工', '全国', 'tools', 'azure', 'wifi', '相关', '产成品', '运营', 'gc', '配电柜', '建造师', '分布式系统', '技术部', '建筑', '地理信息系统', '报告', '城乡规划', '市政', '交办', '化工行业', '生产', '产品开发', '通讯', 'c#', '生产工艺', '以上学历', '设计模式', '大专', '指导书', '冷却塔', '周岁', '施工单位', '解决问题', '要求', 'spring', '组织协调', '原材料', 'java', 'products', '架构', '测风', '制冷', 'arcgis', '调研', '处理', '模型', '计量', '技术员', '技术', '中空玻璃', '数据库', '图纸']"
12,投资总监,"['资源', '投资', '行业', '以上学历', '管理', '分析', '具有', '募资', '项目', '带领', '尽职', '制定', '业务', '股权', '团队', '投后', 'pe', '投行', '基金', '公司']"
13,风控总监,"['从业', '合规', '决策', '催收', '投资', '法律法规', '征信', '提醒', '五险', '以上学历', '进行', '贷后', '风控', '清收', '审核', '业务部门', '控制', '一金', '岗位职责', '核查', '逾期', '资信', '信用卡', '分析', '记录', '风险', '评估', '还款', '根据', '具体情况', '风险管理', '信贷', '客户资料', '法务', '流程', '私募', '查看', '审批', '账户', '备案', '尽职', '金融', '电话', '无责', '股权', '参与', '基金', '司法考试', '全日制', '交办', '沟通', '公司', '贷款']"
14,前端工程师,"['gis', 'ui', '服务平台', '理解', '浏览器', '构建', '常见', '功能', 'spa', '性能', '原生', '系统', '扩展性', 'h5', '前沿技术', '抓包', '3d', '熟悉', '程序开发', '地理信息', 'pc', '可视化', '主流', '基础知识', '规范', '贺金', '前端', '航天', '选型', 'node', 'js', 'es6', 'http', '交互', '开发人员', 'css', '插件', 'angular', '兼容性问题', '编程', 'webpack', '兼容性', '工具', '组件', 'html5', 'web', '名企', 'javascript', '开发', '代码优化', '开发方式', '代码', '页面', 'css3', '精通', '使用', '优化', '框架', 'vue', '精一', 'html', '移动', '工程化', 'w3c', '技术', 'ajax', 'canvas', '全日制', '模块化', 'xml', 'react', '面向对象编程', 'jquery', '计算机相关', '尤佳', '前端开发']"
15,数据分析师,"['hive', 'scala', '挖掘', '建模', '以上学历', '进行', '离线', 'python', '熟悉', '数据分析', '岗位职责', '研究', 'hbase', '统计学', '分析', '提供数据', 'spark', 'sas', 'storm', 'java', '数据模型', '指标', '开发', '运营', '业务', '数据', 'excel', 'hadoop', '模型', '报告', '经验', '数据仓库', '平台', '数据挖掘', 'sql', 'etl', '改进']"
16,招商总监,"['整体', '商户', '以上学历', '管理', '品牌', '谈判', '市场动态', '写字楼', '租赁', '岗位职责', '商业地产', '周边', '根据', '商业', '业态', '签约', '协调', '进场', '招商', '项目前期']"
17,运维开发工程师,"['优化', '自动化', '部署', '熟悉', '维护', '经验', '平台', '工具', 'docker', '开发', '系统', '脚本语言', '监控', '计算机相关', 'linux', 'python', 'shell', '运维']"
18,嵌入式软件工程师,"['产品软件', '版本控制', '多线程', '专业本科', '设计', '自动化', '软件', '岗位职责', '联调', '实际', '协议', 'bms', '语言', 'web', '嵌入式软件', '基本素质', 'c++', '经验', '应用', '软件系统', '智能', 'sql', '电路设计', 'pcb', '电子相关', '开关', 'x86', '驱动程序', 'arm', '系统', '通信协议', 'linux', '移植', '熟悉', '嵌入式操作系统', '软件开发', '串口', '驱动', '底层', '项目组', '原理图', '本科', '嵌入式', '单片机', '测试', '深入分析', '开发', '算法', '代码', '软件设计', '精通', '维护', '编码', 'stm32', 'mcu', '框架', 'winform', '软件架构', '时序', '实现', '分析仪', '机器人', '解决', '程序', '编写', '调试', '万用表', '实时操作系统', '软件工程', 'tcp', '独立', 'arm7', 'sqlserver', '开发工具', '文档', 'c语言', '面向对象', 'visual', 'css3', 'dsp', '汽车', '电路', '编程语言', '通讯', 'c#', '二次开发', '掌握', 'udp', '充电', '以上学历', '设计模式', 'ups', 'mysql', '升级', '无线通讯', 'div', '程序开发', 'qt', '储能', '具体', 'st', '镜场', 'java', '碧桂园', '硬件', 'net', '软件测试', '编程', '编程技术', 'simulink', '技术', '稳定', '数据库', '计算机相关']"
19,产品经理,"['无人机', '体验', '能力', '功能', '效益', '具备', '条理化', '医疗', '设计', '竞争对手', '岗位职责', '分析', '市场', '完成', '合作伙伴', '优先级', '私募', '生命周期', '改善', '巴南', '研发部', '开发进度', '带领', '功能设计', '业务', '优秀', '研发', 'prd', '经验', '具有', '公司', '发展', '用户', '行业', '品牌', '保质', '根据', '数据报表', '孵化', '旅游', '定期', '教育', '导向', 'axure', '省区', '开发', '互联网', '易用性', '金融', '思维', '制定', '效果', '痛点', '团队', '工业品', '规划', '全日制', '督促', '餐补', '逻辑', '产品', '进行', '确认', '清晰明确', '业绩', '同行业', '物流', '年轻人', '竞品', '投资者', '文档', '高保真', '有效', '相关', '主要', '4a', '测绘', '产品策划', '激光雷达', '协调', '跨部门', '运营', '数据', '报告', '上线', '在线教育', '环保', '主导', '进度表', '基金', '产品开发', '改进', 'ui', '理解', '需求', '挖掘', 'tms', '以上学历', '功能分析', 'app', '农药', '数据分析', '迭代', '把握', '市场需求', '评估', '化学', '高新科技', 'uml', '详细', '原型', '有关', '市场调研', '产品设计', '调研', '开发新', '数据处理', '短期', '聚餐', '沟通']"
20,高级投资经理,"['从业', '财务', '对拟', '投资', '资格', '以上学历', '分析', '相关', '合同文本', '管理机构', '资管', '项目', '尽职', '判断能力', '投后', '金融工具', '尽调', '职业道德', '投行', '全日制']"
21,运营总监,"['发展', '连锁', '说明会', '策划', '经营', '推广', '营销策划', '适应力', '管理', '实施', '品牌', '考核制度', '内部', '销售', '岗位职责', '加盟', '计划', '各店', '提高', '市场', '关系', '运营部', '策略', '有效', '组织', 'ota', '范围', '指标', '运营', '协调', '绕道', '制定', '团队', '督导', '酒店', '甄选', '战略', '公司', '零售']"
22,营业部经理,"['销售策略', '管理', '考核', '销售', '清晰', '计划', '勤奋努力', '完成', '人际交往', '年度', '辅导', '带领', '金融', '营业部', '制定', '团队', '甄选', '管理制度', '高度', '人员']"
23,销售经理,"['能力', '一手', '养老', '区域', '开拓', '课程', '具备', '区域经理', '管理', '医疗', '岗位职责', '分析', '会员卡', '一职', '室内环境', '市场', '完成', '信息', '好客', '政府部门', '农产品', '房产', '事业心', '带领', '拓展', '业务', '产品销售', '目标', '经验', '经纪人', '酒店', '肉类', '客户关系', '交际', '冠军', '公司', '供货', '资源', '复盘', '行业', '环境', '组建', '满意度', '施展', '80%', '广告行业', '客户', '看房', '电销', '提高', '人际沟通', '四有', '根据', '合同', '医院', '渠道', '旅游', '套票', '教育', '媒体', '抗压', '年休假', '导向', '开展', '市场营销', '享受', '开发', '金融', '适应', '背景', '维护', '制定', '提成', '团队', '项目前期', '企业', '销售者', '下属', '亲子活动', '户外广告', '咨询', '酒店客房', '投标', '底薪', '广告', '产品', '考虑', '储值卡', '谈判', '市场动态', '商圈', '提供', '物流', '一金', '业绩', '津贴', '合作', '销售', '按计划', '计划', '独立', '晋升', '客户资源', '体检', '专做', '暖通', '商务谈判', 'k12', '能源管理', '旅行社', '协调', '氛围', '良好', '落地', '判断能力', '房地产', '培训', '语言表达', '销售主管', '房源', '交办', '消品', '款及', '较强', 'www', '任职', '拜访', '户外媒体', '收入', '书籍', '实体店', '以上学历', '大专', '居上', '租赁', '条理性', '上级领导', '回款', '化学', '统招', 'http', '总结报告', '政策', '医疗器械', '经理', '科技', '高低压', '电话', '艰苦奋斗', '市场调研', '能者', '营销', '描述', '链家', '沟通']"
24,fpga工程师,"['编写', '调试', '设计', '熟悉', '以太网', 'rtl', '硬件', '相关', 'fpga', '测试', '开发', '算法', '代码', 'verilog', 'vhdl', '经验', '仿真', 'xilinx', '时序']"
25,c++开发工程师,"['组态', '编译器', 'mfc', '系统', '图形', '以上学历', '多线程', '前沿技术', '设计模式', '通信协议', '文本', '离线', 'linux', 'tcp', '熟悉', '岗位职责', 'qt', 'windows', '软件开发', 'socket', '数据结构', 'unix', 'ip', '文档', '集成', '软件技术', '国内外', '编程', '语言', '开展', '开发', '算法', 'c++', '精通', '电力系统', '经验', '数据库', '计算机相关', 'shell']"
26,设计总监,"['设计部', '创意设计', '能力', '方案设计', '大型', '服装设计', '设计方案', '以上', '创意', '产品', '管理', '品牌', '设计', '把握', '地向', '家装', '岗位职责', '美术', '流行', '具有', '独立', '方案', '装饰', '施工图', '指导', '完成', '放飞', '项目', '视觉', '带领', '协调', '吊牌', '开发', 'photoshop', '施工工艺', '成员', '品牌设计', '优秀', '海报', '研发', 'rhino', '提案', '团队', '经验', '平面设计', '工作效率', '色彩', '工艺', '设计师', '室内设计', '沟通', '空间设计', '公司']"
27,测试工程师,"['产品软件', '编写', '性能', '操作手册', '验证', '以上学历', '周末', 'app', '缺陷', '进行', 'linux', '脚本语言', 'python', '产品', '问题', '熟悉', '实验室', '自动化', '岗位职责', 'cloud', '攻击', '分析', '检测', '集中器', '理工科', '根据', '完成', '开发工具', '黑盒', 'java', '测试数据', '定位问题', '相关', '测试', '软件测试', '流程', 'bug', '心理素质', '工具', '开发', '测试环境', '接口', '可靠性', 'c++', '从事', 'jmeter', '用例', '测试计划', '保养', '框架', '电力系统', '经验', '功能测试', '领域', '测试项目', '测试工具', '测试报告', '测试用例', '脚本', '类产品', '计算机相关', '编程语言', '改进', '实缴']"
28,大数据方向软件研发,"['组态', 'oracle', '产品软件', 'flink', '多线程', '专业本科', '设计', '自动化', '软件', '岗位职责', 'bms', '语言', 'web', '功能设计', '基本素质', 'c++', 'hadoop', '经验', '软件系统', 'sql', '具有', 'pcb', 'scala', '电子相关', 'hive', '规约', 'x86', '脚本语言', 'linux', '离线', '熟悉', '嵌入式操作系统', '软件开发', '串口', '项目组', '原理图', '本科', '单片机', '软件技术', '测试', '深入分析', '开发', '代码', '生态圈', '软件设计', '精通', '维护', '框架', 'winform', 'ceph', '软件架构', '时序', '流式', '解决', '程序', '常见', '编写', '调试', '软件工程', 'tcp', '以太网', 'spark', '独立', 'sqlserver', '开发工具', '文档', 'c语言', '面向对象', 'visual', 'css3', '编程语言', 'hbase', '通讯', '电力', 'c#', '二次开发', 'udp', '以上学历', '设计模式', 'mysql', '升级', 'div', '程序开发', 'qt', 'windows', 'st', '理论知识', 'java', 'net', '软件测试', '编程', '配网', '电力系统', '编程技术', 'simulink', '技术', '数据库', '计算机相关']"
29,软件开发工程师,"['主动', '节能', '产品软件', '过程', '多线程', '专业本科', '设计', '自动化', '软件', '岗位职责', '计算机相关', '度高', '规范', '比如', 'bms', '计算机', '语言', 'web', '单独', '基本素质', '电子', 'c++', '参与', '经验', '软件系统', 'sql', '逆变器', 'pcb', '电子相关', 'x86', '系统', 'linux', '分配', 'python', '熟悉', '嵌入式操作系统', '软件开发', '串口', '保质', '根据', '项目组', '原理图', '本科', '单片机', '测试', '深入分析', 'bug', '开发', '电控', '代码', '后台', '软件设计', '精通', '维护', '框架', 'winform', '关系数据库', '预研', '软件架构', '控制', '时序', '解决', '程序', '编写', '调试', '软件工程', 'tcp', '源码', 'socket', '中间件', '独立', '可以', 'sqlserver', '承担', '文档', '电联', 'c语言', 'server', '面向对象', 'visual', '控制软件', 'css3', 'vue', '单元测试', '编程语言', '通讯', 'c#', '二次开发', 'udp', 'asp', '以上学历', '设计模式', 'ups', 'mysql', '升级', 'div', '程序开发', 'qt', 'windows', '保量', 'st', '数据结构', '配置管理', 'js', 'java', 'mvc', 'net', '软件测试', '编程', '编程技术', 'simulink', '技术', '数据库', '变频器', '企业应用', '资质']"
30,ios开发工程师,"['ui', '设计模式', 'app', '多线程', 'xcode', '控件', '熟悉', 'sdk', 'objective', '客户端', '编程', '开发', '代码', 'c++', 'ios', '经验', 'swift', '应用', 'iphone', '架构设计', '计算机相关']"
31,工程部经理,"['分包', '协作关系', '质量', '单位', '管理', '开发计划', '工程部', '岗位职责', '施工单位', '项目经理', '部门', '验收', '施工图', '合同', '组织', '监督', '项目', '协调', '工民建', '进度', '监理', '施工工艺', '建造师', '工程', '施工', '技能', '参与', '工程质量', '项目管理', '图纸']"
32,android开发工程师,"['ui', '自定义', '设计模式', 'app', '多线程', '控件', 'tcp', 'sdk', '熟悉', '客户端', 'java', 'android', 'http', '编程', '安卓', '开发', '代码', '适配', '优化', '经验', '应用', '平台', 'framework', '计算机相关']"
33,贷款客户经理,"['提供', '一金', '岗位职责', '婚假', '待遇', '合作', '客户', '生日会', '电销', '优秀员工', '福利待遇', '岗前', '经理', '无责', '带薪', '入职', '聚餐', '公司', '贷款']"
34,融资顾问,"['个人', '底薪', '融资', '贷后', '销售', '提供', '抵押', '岗位职责', '待遇', '合作', '客户', '双休', '贷前', '渠道', '主要', '薪资', '电话', '带薪', '贷款']"
35,电子工程师,"['业务水平', '配电箱', '规格书', '设计', '岗位职责', '产品质量', '开关电源', '规范', '电子电路', '环境治理', '试产', '转化', '电子设计', '事故', '电子', '蓝牙', '研发', '理科', '经验', 'bom', '电路设计', '电烙铁', '数字电路', 'pcb', '电子相关', '称重', '控制器', '熟悉', '筹备', '原理图', '单片机', '强电', '测试', '电路板', '开发', 'led', '实现', '工科', '编写', '调试', '系统软件', '产品', '同岗', '万用表', '独立', '生产线', '选型', '开发工具', '视频产品', '仪器仪表', '临时性', 'c语言', '原理', '电源', '有志于', '工作餐', '电气', '电路', '安规', '电子产品', '转产', '改进', '西青区', '电力', '生产工艺', '以上学历', 'ups', '硬件', '样机', 'igbt', '整改', '合格率', '成套', '学习业务', '技术', '8.30', 'emc']"
36,运维工程师,"['部署', '调优', '管理', '自动化', '岗位职责', '计算机相关', '这块', '度高', '做国网', '整理', '应届', '技术人员', '计算机', '电等', '软硬件', '工具', '接口', '优化', '故障', '经验', '巡检', '平台', '男性', '蓄电池', '领域', '记录表', '安装', '自动检测', 'shell', '继电保护', '数据中心', '环境', '系统', '脚本语言', '维修', 'linux', 'python', '打印机', 'cd', '设备', '熟悉', '分布式应用', 'redis', '供应链', '驾照', '网络', '日常', '农业', '运维', '现场', '异常', 'cems', '网络设备', '维护', '信息安全', '承受', '通信', '调试', '以上', '监控', '技术支持', '进行', 'tcp', '信息工程', '服务器', '文档', '相关', '主要', '工程', '数据备份', '搭建', '有志于', '环保', '脚本', '华为', '电力', '整体', 'zabbix', 'ci', '充电', '以上学历', 'mysql', 'windows', '重庆', '配置管理', '监测', '配置', '范围', '环境工程', '电力系统', '处理', '技术', '数据库', '数据安全', '仪器设备']"
37,营销总监,"['从业', '管理', '培养', '岗位职责', '客户资源', '渠道', '业务培训', '理财', '监督', '指标', '证券', '资格考试', '市场营销', '信托', '营业部', '制定', '团队', '营销', '规章制度']"
38,理财经理/团队经理,"['从业', '资源', '行业', '组建', '优秀人才', '以上学历', '提供', '一金', '财富', '保险', '客户资源', '净值', '资格证', '理财', '开发', '金融', '职级', '团队', '人脉关系', '服务']"
39,硬件工程师,"['通讯', '定位', '电子相关', 'pcb', '元器件', '电力', 'eda', '了解', '电路设计', 'arm', '器件', '以上', '过程', '调试', '编写', '产品', '控制器', '万用表', '专业本科', '板卡', 'emc', '模拟', 'ups', '设计', '熟悉', '专业对口', 'layout', '岗位职责', '动手', '串口', '信号', '根据', '选型', '开发工具', '电磁兼容', '文档', '层板', '产线', '硬件', '原理图', '强电', '嵌入式', '相关', 'fpga', '测试', '单片机', '电力行业', '开发', '电子', '完整性', '电子行业', 'dsp', '精通', 'stm32', '研发', 'mcu', '电表', '使用', '电厂', '经验', '功能测试', '智能', '技术', 'bom', '电路', '测试报告', 'cpu', '逆变器', '具有', '单元测试', '调测', '数字电路']"
40,基金经理,"['从业', '行业', '投资', '以上', '公募', '实盘', '岗位职责', '分析', '净值', '理财', '相关', '交易', '私募', '资管', '备案', '金融', '经理', '证明', 'cpa', '基金']"
41,项目经理,"['劳动纪律', '质量', '能力', '策划', '投资', '过程', '具备', '管理', '专业本科', '医疗', '管理工作', '竣工', '岗位职责', '分析', '工期', '成本', '验收', '项目风险', '收集', '完成', '年度', '细腻', '监督', '尽职', '交付', '进度', '业务', '施工', '研发', '施工进度', '经验', '全面', '具有', '工程造价', '资源', '分包', '施工现场', '执行', '以上者', '融资', '电力工程', '实施', '二建', '熟悉', '客户', '项目经理', '方案', '项目组', '本科', '现场', '组织', '渠道', '旅游', '二级', '开发', '项目', '甲方', '金融', '弱电', '制定', '团队', '职责', '项目前期', '企业', '规划', '给排水', '投行', '督促', '工程质量', '控制', '各项', '热忱', '咨询', '代建', '施工人员', '会计师', '以上', '机制', '温江区', '进行', '物流', '设计变更', '计划', '独立', '高科技', '案场', '文档', '有效', '相关', '商务谈判', '协调', '运营', '确保', '活动', '工程施工', '建造师', '房地产', '工程', '语言表达', '意识', '工作', '环保', '项目管理', '一级', '会展', '物业管理', '电力', '较强', '交底', '整体', '需求', '应急', 'cad', 'pmp', '10kv', '以上学历', '大专', '工程验收', '可行性', '高压', '质量保证', '物业', '关系', 'ppt', '流程', '环境工程', '信息化', '残疾人', '严格', '工程项目', '机电', '精神', '技术', '沟通']"
42,安全评价师,"['安全', '应急', '法律法规', '考虑', '危化', '现场', '相关', '安全检查', '法规', '职称者', '整改', '标准化', '评价', '工贸', '报告', '企业', '师证', '证书', '编制', '生产']"
43,信贷经理,"['提供', '一金', '岗位职责', '主要', '银行', '入职', '客户', '融资', '晋升', '五险', '介绍', '贷前', '贷后', '拓展', '维护', '公司', '销售', '贷款']"
44,融资经理,"['从业', '任职', '行业', '金融机构', '融资', '进行', '提供', '岗位职责', '具有', '投融资', '渠道', '定期', '机构', '信托', '金融', '电话', '股权', '人脉关系', '沟通', '公司']"
45,电气工程师,"['电力', '组态', '交底', '质量', 'cad', '欧姆龙', '设计院', '运用', '调试', '配电箱', '配电', '以上学历', '大专', '技术支持', '绘制', '控制系统', '自动化', '软件', '三菱', '设备', '岗位职责', '触摸屏', '电气系统', '设计', '设计变更', '文件', '控制', '光伏', '要求', '验收', '电气工程师', '施工图', '布线', 'autocad', '选型', '原理图', '电气专业', '现场', '西门子', '相关', '测试', 'plc', '熟悉', '编程', '检查', '电气工程', '电控', '人机界面', '高低压', '配电柜', '强弱电', '专业', '工程', '电气设计', '成套', '施工', '建筑', '配网', '电气设备', '电气控制', '技术', '电气', '电路', '工程质量', '安装', '图纸', '变频器', '生产', '非标']"
